Episode,Steps,TotalReward,FinalState,Epsilon
1068,12,89,99,0.1
1069,19,33,99,0.1
1070,12,89,99,0.1
1071,13,79,99,0.1
1072,12,89,99,0.1
1073,12,89,99,0.1
1074,15,37,99,0.1
1075,13,88,99,0.1
1076,14,87,99,0.1
1077,12,89,99,0.1
1078,12,89,99,0.1
1079,14,87,99,0.1
1080,13,39,99,0.1
1081,13,88,99,0.1
1082,15,19,99,0.1
1083,18,34,99,0.1
1084,12,89,99,0.1
1085,16,34,99,0.1
1086,14,76,99,0.1
1087,14,38,99,0.1
1088,15,86,99,0.1
1089,12,89,99,0.1
1090,18,83,99,0.1
1091,12,89,99,0.1
1092,12,89,99,0.1
1093,13,39,99,0.1
1094,12,89,99,0.1
1095,15,86,99,0.1
1096,13,39,99,0.1
1097,16,85,99,0.1
1098,15,37,99,0.1
1099,12,89,99,0.1
1100,12,89,99,0.1
1101,13,88,99,0.1
1102,12,89,99,0.1
1103,17,35,99,0.1
1104,13,39,99,0.1
1105,12,89,99,0.1
1106,15,35,99,0.1
1107,12,89,99,0.1
1108,12,89,99,0.1
1109,12,89,99,0.1
1110,12,89,99,0.1
1111,13,88,99,0.1
1112,14,87,99,0.1
1113,13,79,99,0.1
1114,12,89,99,0.1
1115,14,87,99,0.1
1116,14,85,99,0.1
1117,14,85,99,0.1
1118,14,87,99,0.1
1119,13,79,99,0.1
1120,12,89,99,0.1
1121,17,-23,99,0.1
1122,15,37,99,0.1
1123,13,39,99,0.1
1124,14,87,99,0.1
1125,12,89,99,0.1
1126,12,89,99,0.1
1127,16,83,99,0.1
1128,12,89,99,0.1
1129,12,89,99,0.1
1130,12,89,99,0.1
1131,18,25,99,0.1
1132,14,87,99,0.1
1133,15,37,99,0.1
1134,14,87,99,0.1
1135,12,89,99,0.1
1136,14,-11,99,0.1
1137,12,89,99,0.1
1138,16,74,99,0.1
1139,14,87,99,0.1
1140,16,81,99,0.1
1141,12,89,99,0.1
1142,14,29,99,0.1
1143,13,39,99,0.1
1144,14,38,99,0.1
1145,12,89,99,0.1
1146,14,87,99,0.1
1147,12,89,99,0.1
1148,18,83,99,0.1
1149,12,89,99,0.1
1150,13,79,99,0.1
1151,15,37,99,0.1
1152,16,-13,99,0.1
1153,12,89,99,0.1
1154,12,89,99,0.1
1155,12,89,99,0.1
1156,13,88,99,0.1
1157,12,89,99,0.1
1158,13,39,99,0.1
1159,15,59,99,0.1
1160,13,39,99,0.1
1161,14,87,99,0.1
1162,15,86,99,0.1
1163,16,34,99,0.1
1164,18,74,99,0.1
1165,17,26,99,0.1
1166,17,35,99,0.1
1167,14,29,99,0.1
1168,12,89,99,0.1
1169,13,88,99,0.1
1170,12,89,99,0.1
1171,12,89,99,0.1
1172,12,89,99,0.1
1173,13,79,99,0.1
1174,12,89,99,0.1
1175,15,84,99,0.1
1176,13,88,99,0.1
1177,13,79,99,0.1
1178,14,87,99,0.1
1179,13,39,99,0.1
1180,13,39,99,0.1
1181,13,39,99,0.1
1182,12,89,99,0.1
1183,12,89,99,0.1
1184,13,39,99,0.1
1185,16,-13,99,0.1
1186,17,35,99,0.1
1187,12,89,99,0.1
1188,12,89,99,0.1
1189,14,87,99,0.1
1190,13,79,99,0.1
1191,15,77,99,0.1
1192,13,39,99,0.1
1193,15,37,99,0.1
1194,12,89,99,0.1
1195,13,39,99,0.1
1196,13,39,99,0.1
1197,12,89,99,0.1
1198,14,-11,99,0.1
1199,14,87,99,0.1
1200,15,37,99,0.1
1201,16,85,99,0.1
1202,12,89,99,0.1
1203,14,87,99,0.1
1204,12,89,99,0.1
1205,12,89,99,0.1
1206,13,39,99,0.1
1207,13,79,99,0.1
1208,14,85,99,0.1
1209,16,85,99,0.1
1210,12,89,99,0.1
1211,14,-11,99,0.1
1212,13,39,99,0.1
1213,12,89,99,0.1
1214,12,89,99,0.1
1215,16,-13,99,0.1
1216,13,39,99,0.1
1217,12,89,99,0.1
1218,12,89,99,0.1
1219,13,88,99,0.1
1220,12,89,99,0.1
1221,15,37,99,0.1
1222,17,35,99,0.1
1223,12,89,99,0.1
1224,13,39,99,0.1
1225,13,39,99,0.1
1226,15,37,99,0.1
1227,12,89,99,0.1
1228,14,87,99,0.1
1229,12,89,99,0.1
1230,14,87,99,0.1
1231,16,85,99,0.1
1232,14,87,99,0.1
1233,12,89,99,0.1
1234,12,89,99,0.1
1235,14,38,99,0.1
1236,13,39,99,0.1
1237,13,86,99,0.1
1238,12,89,99,0.1
1239,15,37,99,0.1
1240,14,87,99,0.1
1241,13,88,99,0.1
1242,12,89,99,0.1
1243,17,33,99,0.1
1244,14,87,99,0.1
1245,13,39,99,0.1
1246,14,87,99,0.1
1247,16,85,99,0.1
1248,14,85,99,0.1
1249,12,89,99,0.1
1250,16,27,99,0.1
1251,12,89,99,0.1
1252,14,85,99,0.1
1253,15,86,99,0.1
1254,13,39,99,0.1
1255,14,87,99,0.1
1256,12,89,99,0.1
1257,15,37,99,0.1
1258,17,33,99,0.1
1259,13,79,99,0.1
1260,14,36,99,0.1
1261,12,89,99,0.1
1262,15,37,99,0.1
1263,12,89,99,0.1
1264,13,39,99,0.1
1265,16,67,99,0.1
1266,13,39,99,0.1
1267,12,89,99,0.1
1268,12,89,99,0.1
1269,14,87,99,0.1
1270,14,87,99,0.1
1271,12,89,99,0.1
1272,12,89,99,0.1
1273,15,86,99,0.1
1274,12,89,99,0.1
1275,12,89,99,0.1
1276,12,89,99,0.1
1277,13,39,99,0.1
1278,13,39,99,0.1
1279,12,89,99,0.1
1280,15,86,99,0.1
1281,17,35,99,0.1
1282,14,87,99,0.1
1283,12,89,99,0.1
1284,17,75,99,0.1
1285,13,79,99,0.1
1286,12,89,99,0.1
1287,15,84,99,0.1
1288,14,87,99,0.1
1289,13,79,99,0.1
1290,12,89,99,0.1
1291,13,39,99,0.1
1292,14,-11,99,0.1
1293,15,86,99,0.1
1294,14,87,99,0.1
1295,12,89,99,0.1
1296,12,89,99,0.1
1297,13,79,99,0.1
1298,15,-12,99,0.1
1299,13,79,99,0.1
1300,16,85,99,0.1
1301,18,-64,99,0.1
1302,14,-11,99,0.1
1303,15,84,99,0.1
1304,12,89,99,0.1
1305,12,89,99,0.1
1306,12,87,99,0.1
1307,22,79,99,0.1
1308,14,69,99,0.1
1309,16,76,99,0.1
1310,12,89,99,0.1
1311,13,39,99,0.1
1312,12,89,99,0.1
1313,12,89,99,0.1
1314,14,87,99,0.1
1315,12,89,99,0.1
1316,13,39,99,0.1
1317,15,86,99,0.1
1318,13,88,99,0.1
1319,13,39,99,0.1
1320,13,88,99,0.1
1321,12,89,99,0.1
1322,14,87,99,0.1
1323,14,87,99,0.1
1324,12,89,99,0.1
1325,14,87,99,0.1
1326,12,89,99,0.1
1327,14,87,99,0.1
1328,16,83,99,0.1
1329,12,87,99,0.1
1330,14,78,99,0.1
1331,13,39,99,0.1
1332,12,89,99,0.1
1333,12,89,99,0.1
1334,13,88,99,0.1
1335,13,39,99,0.1
1336,16,81,99,0.1
1337,12,87,99,0.1
1338,15,84,99,0.1
1339,17,84,99,0.1
1340,12,89,99,0.1
1341,15,35,99,0.1
1342,13,88,99,0.1
1343,12,89,99,0.1
1344,13,88,99,0.1
1345,13,88,99,0.1
1346,12,89,99,0.1
1347,16,-111,99,0.1
1348,14,87,99,0.1
1349,12,89,99,0.1
1350,17,75,99,0.1
1351,13,88,99,0.1
1352,13,39,99,0.1
1353,12,89,99,0.1
1354,13,39,99,0.1
1355,13,79,99,0.1
1356,12,89,99,0.1
1357,12,89,99,0.1
1358,12,89,99,0.1
1359,14,-11,99,0.1
1360,14,87,99,0.1
1361,17,-63,99,0.1
1362,14,87,99,0.1
1363,13,39,99,0.1
1364,12,89,99,0.1
1365,12,89,99,0.1
1366,13,39,99,0.1
1367,15,37,99,0.1
1368,13,39,99,0.1
1369,12,89,99,0.1
1370,14,85,99,0.1
1371,12,89,99,0.1
1372,14,76,99,0.1
1373,15,77,99,0.1
1374,12,89,99,0.1
1375,14,87,99,0.1
1376,12,89,99,0.1
1377,12,89,99,0.1
1378,14,87,99,0.1
1379,12,89,99,0.1
1380,15,-21,99,0.1
1381,13,88,99,0.1
1382,15,86,99,0.1
1383,15,86,99,0.1
1384,14,87,99,0.1
1385,14,-11,99,0.1
1386,17,75,99,0.1
1387,14,87,99,0.1
1388,16,85,99,0.1
1389,13,86,99,0.1
1390,19,24,99,0.1
1391,13,39,99,0.1
1392,16,85,99,0.1
1393,12,89,99,0.1
1394,12,89,99,0.1
1395,14,87,99,0.1
1396,14,87,99,0.1
1397,17,-23,99,0.1
1398,12,89,99,0.1
1399,14,87,99,0.1
1400,13,88,99,0.1
1401,13,39,99,0.1
1402,12,89,99,0.1
1403,17,64,99,0.1
1404,15,75,99,0.1
1405,12,89,99,0.1
1406,14,87,99,0.1
1407,15,-21,99,0.1
1408,15,35,99,0.1
1409,15,86,99,0.1
1410,13,88,99,0.1
1411,14,-11,99,0.1
1412,12,89,99,0.1
1413,12,89,99,0.1
1414,12,89,99,0.1
1415,12,89,99,0.1
1416,14,38,99,0.1
1417,14,87,99,0.1
1418,14,87,99,0.1
1419,14,69,99,0.1
1420,12,89,99,0.1
1421,16,67,99,0.1
1422,13,39,99,0.1
1423,12,89,99,0.1
1424,14,87,99,0.1
1425,13,39,99,0.1
1426,12,89,99,0.1
1427,17,-16,99,0.1
1428,13,88,99,0.1
1429,12,89,99,0.1
1430,13,88,99,0.1
1431,13,88,99,0.1
1432,13,39,99,0.1
1433,13,79,99,0.1
1434,18,83,99,0.1
1435,13,39,99,0.1
1436,12,89,99,0.1
1437,14,-11,99,0.1
1438,15,77,99,0.1
1439,13,39,99,0.1
1440,14,78,99,0.1
1441,12,89,99,0.1
1442,13,88,99,0.1
1443,17,57,99,0.1
1444,13,39,99,0.1
1445,14,69,99,0.1
1446,14,87,99,0.1
1447,12,89,99,0.1
1448,13,88,99,0.1
1449,15,86,99,0.1
1450,14,87,99,0.1
1451,12,89,99,0.1
1452,12,89,99,0.1
1453,16,76,99,0.1
1454,15,59,99,0.1
1455,17,84,99,0.1
1456,12,89,99,0.1
1457,12,89,99,0.1
1458,12,89,99,0.1
1459,12,89,99,0.1
1460,13,39,99,0.1
1461,15,35,99,0.1
1462,14,29,99,0.1
1463,14,87,99,0.1
1464,13,88,99,0.1
1465,12,89,99,0.1
1466,13,79,99,0.1
1467,12,89,99,0.1
1468,13,88,99,0.1
1469,13,39,99,0.1
1470,14,85,99,0.1
1471,13,39,99,0.1
1472,15,-12,99,0.1
1473,12,89,99,0.1
1474,12,89,99,0.1
1475,13,39,99,0.1
1476,12,89,99,0.1
1477,18,34,99,0.1
1478,14,87,99,0.1
1479,15,86,99,0.1
1480,17,35,99,0.1
1481,14,87,99,0.1
1482,12,89,99,0.1
1483,12,89,99,0.1
1484,12,89,99,0.1
1485,12,89,99,0.1
1486,12,89,99,0.1
1487,14,87,99,0.1
1488,13,79,99,0.1
1489,12,89,99,0.1
1490,12,89,99,0.1
1491,12,89,99,0.1
1492,13,88,99,0.1
1493,12,89,99,0.1
1494,12,89,99,0.1
1495,15,28,99,0.1
1496,15,68,99,0.1
1497,12,89,99,0.1
1498,12,89,99,0.1
1499,12,89,99,0.1
1500,13,39,99,0.1
1501,16,-13,99,0.1
1502,13,39,99,0.1
1503,12,89,99,0.1
1504,15,86,99,0.1
1505,13,73,99,0.1
1506,12,89,99,0.1
1507,13,79,99,0.1
1508,12,89,99,0.1
1509,12,89,99,0.1
1510,15,37,99,0.1
1511,14,87,99,0.1
1512,12,89,99,0.1
1513,14,87,99,0.1
1514,15,86,99,0.1
1515,12,89,99,0.1
1516,14,29,99,0.1
1517,15,86,99,0.1
1518,12,89,99,0.1
1519,12,89,99,0.1
1520,15,86,99,0.1
1521,12,89,99,0.1
1522,12,89,99,0.1
1523,14,29,99,0.1
1524,13,88,99,0.1
1525,12,89,99,0.1
1526,12,89,99,0.1
1527,14,-11,99,0.1
1528,13,39,99,0.1
1529,14,87,99,0.1
1530,12,89,99,0.1
1531,13,88,99,0.1
1532,13,39,99,0.1
1533,12,89,99,0.1
1534,14,85,99,0.1
1535,12,89,99,0.1
1536,15,59,99,0.1
1537,13,79,99,0.1
1538,13,39,99,0.1
1539,15,19,99,0.1
1540,13,88,99,0.1
1541,16,85,99,0.1
1542,13,88,99,0.1
1543,14,87,99,0.1
1544,15,86,99,0.1
1545,12,89,99,0.1
1546,13,86,99,0.1
1547,13,39,99,0.1
1548,15,37,99,0.1
1549,13,39,99,0.1
1550,14,87,99,0.1
1551,17,75,99,0.1
1552,15,-12,99,0.1
1553,13,39,99,0.1
1554,12,89,99,0.1
1555,12,89,99,0.1
1556,14,87,99,0.1
1557,20,81,99,0.1
1558,13,39,99,0.1
1559,12,89,99,0.1
1560,15,77,99,0.1
1561,15,59,99,0.1
1562,15,37,99,0.1
1563,14,87,99,0.1
1564,12,89,99,0.1
1565,12,89,99,0.1
1566,17,75,99,0.1
1567,15,-14,99,0.1
1568,15,-12,99,0.1
1569,12,89,99,0.1
1570,12,89,99,0.1
1571,13,88,99,0.1
1572,15,37,99,0.1
1573,12,89,99,0.1
1574,13,79,99,0.1
1575,13,39,99,0.1
1576,13,79,99,0.1
1577,13,86,99,0.1
1578,15,86,99,0.1
1579,13,79,99,0.1
1580,14,29,99,0.1
1581,16,83,99,0.1
1582,12,89,99,0.1
1583,16,-13,99,0.1
1584,15,77,99,0.1
1585,13,39,99,0.1
1586,15,37,99,0.1
1587,15,84,99,0.1
1588,15,77,99,0.1
1589,13,37,99,0.1
1590,14,87,99,0.1
1591,14,87,99,0.1
1592,13,88,99,0.1
1593,12,89,99,0.1
1594,12,89,99,0.1
1595,12,89,99,0.1
1596,16,85,99,0.1
1597,12,89,99,0.1
1598,14,87,99,0.1
1599,20,79,99,0.1
1600,19,33,99,0.1
1601,14,87,99,0.1
1602,14,87,99,0.1
1603,12,89,99,0.1
1604,12,89,99,0.1
1605,13,39,99,0.1
1606,12,89,99,0.1
1607,14,87,99,0.1
1608,13,39,99,0.1
1609,12,89,99,0.1
1610,13,79,99,0.1
1611,14,38,99,0.1
1612,17,-65,99,0.1
1613,13,79,99,0.1
1614,12,89,99,0.1
1615,13,88,99,0.1
1616,16,85,99,0.1
1617,12,89,99,0.1
1618,13,79,99,0.1
1619,15,86,99,0.1
1620,12,89,99,0.1
1621,12,89,99,0.1
1622,14,87,99,0.1
1623,14,38,99,0.1
1624,14,87,99,0.1
1625,15,37,99,0.1
1626,15,77,99,0.1
1627,12,89,99,0.1
1628,12,89,99,0.1
1629,13,39,99,0.1
1630,14,87,99,0.1
1631,15,86,99,0.1
1632,12,89,99,0.1
1633,12,89,99,0.1
1634,15,86,99,0.1
1635,17,84,99,0.1
1636,14,87,99,0.1
1637,15,37,99,0.1
1638,18,34,99,0.1
1639,15,86,99,0.1
1640,14,87,99,0.1
1641,13,88,99,0.1
1642,15,37,99,0.1
1643,17,84,99,0.1
1644,12,89,99,0.1
1645,12,89,99,0.1
1646,16,34,99,0.1
1647,12,89,99,0.1
1648,13,39,99,0.1
1649,12,89,99,0.1
1650,14,85,99,0.1
1651,13,39,99,0.1
1652,14,29,99,0.1
1653,12,89,99,0.1
1654,12,89,99,0.1
1655,12,89,99,0.1
1656,14,87,99,0.1
1657,13,79,99,0.1
1658,12,89,99,0.1
1659,12,89,99,0.1
1660,14,87,99,0.1
1661,13,79,99,0.1
1662,13,88,99,0.1
1663,12,89,99,0.1
1664,12,89,99,0.1
1665,13,39,99,0.1
1666,12,89,99,0.1
1667,15,77,99,0.1
1668,13,88,99,0.1
1669,12,89,99,0.1
1670,13,86,99,0.1
1671,16,85,99,0.1
1672,12,89,99,0.1
1673,12,89,99,0.1
1674,12,89,99,0.1
1675,12,89,99,0.1
1676,12,87,99,0.1
1677,12,89,99,0.1
1678,14,38,99,0.1
1679,16,36,99,0.1
1680,14,85,99,0.1
1681,12,89,99,0.1
1682,12,89,99,0.1
1683,16,-13,99,0.1
1684,14,87,99,0.1
1685,13,39,99,0.1
1686,15,37,99,0.1
1687,12,89,99,0.1
1688,14,87,99,0.1
1689,12,89,99,0.1
1690,16,85,99,0.1
1691,16,85,99,0.1
1692,15,77,99,0.1
1693,15,86,99,0.1
1694,16,76,99,0.1
1695,17,84,99,0.1
1696,14,87,99,0.1
1697,12,89,99,0.1
1698,12,89,99,0.1
1699,12,89,99,0.1
1700,13,79,99,0.1
1701,13,88,99,0.1
1702,16,85,99,0.1
1703,12,89,99,0.1
1704,12,89,99,0.1
1705,13,39,99,0.1
1706,12,89,99,0.1
1707,12,89,99,0.1
1708,13,79,99,0.1
1709,15,86,99,0.1
1710,16,85,99,0.1
1711,14,29,99,0.1
1712,13,88,99,0.1
1713,14,87,99,0.1
1714,12,89,99,0.1
1715,16,85,99,0.1
1716,12,89,99,0.1
1717,14,87,99,0.1
1718,14,87,99,0.1
1719,13,39,99,0.1
1720,12,89,99,0.1
1721,17,17,99,0.1
1722,13,39,99,0.1
1723,14,87,99,0.1
1724,17,73,99,0.1
1725,14,87,99,0.1
1726,14,87,99,0.1
1727,14,87,99,0.1
1728,13,39,99,0.1
1729,12,89,99,0.1
1730,13,39,99,0.1
1731,17,84,99,0.1
1732,13,88,99,0.1
1733,16,83,99,0.1
1734,12,89,99,0.1
1735,12,89,99,0.1
1736,14,87,99,0.1
1737,16,85,99,0.1
1738,13,88,99,0.1
1739,17,26,99,0.1
1740,12,89,99,0.1
1741,12,89,99,0.1
1742,12,89,99,0.1
1743,12,89,99,0.1
1744,12,89,99,0.1
1745,17,84,99,0.1
1746,14,85,99,0.1
1747,12,89,99,0.1
1748,14,78,99,0.1
1749,12,89,99,0.1
1750,16,85,99,0.1
1751,15,37,99,0.1
1752,13,86,99,0.1
1753,14,87,99,0.1
1754,12,89,99,0.1
1755,12,89,99,0.1
1756,13,88,99,0.1
1757,14,87,99,0.1
1758,12,89,99,0.1
1759,13,79,99,0.1
1760,12,89,99,0.1
1761,12,89,99,0.1
1762,12,89,99,0.1
1763,14,38,99,0.1
1764,14,87,99,0.1
1765,12,89,99,0.1
1766,15,77,99,0.1
1767,13,79,99,0.1
1768,12,89,99,0.1
1769,14,87,99,0.1
1770,14,87,99,0.1
1771,12,89,99,0.1
1772,14,87,99,0.1
1773,12,89,99,0.1
1774,13,39,99,0.1
1775,13,79,99,0.1
1776,12,89,99,0.1
1777,12,89,99,0.1
1778,18,34,99,0.1
1779,20,77,99,0.1
1780,15,37,99,0.1
1781,14,85,99,0.1
1782,13,39,99,0.1
1783,13,39,99,0.1
1784,13,39,99,0.1
1785,13,39,99,0.1
1786,12,89,99,0.1
1787,14,87,99,0.1
1788,17,35,99,0.1
1789,12,89,99,0.1
1790,14,87,99,0.1
1791,12,89,99,0.1
1792,12,89,99,0.1
1793,12,89,99,0.1
1794,13,39,99,0.1
1795,13,39,99,0.1
1796,12,89,99,0.1
1797,14,29,99,0.1
1798,12,89,99,0.1
1799,15,37,99,0.1
1800,12,89,99,0.1
1801,12,89,99,0.1
1802,12,89,99,0.1
1803,12,89,99,0.1
1804,12,89,99,0.1
1805,14,-11,99,0.1
1806,14,-11,99,0.1
1807,13,39,99,0.1
1808,15,86,99,0.1
1809,17,35,99,0.1
1810,13,88,99,0.1
1811,13,39,99,0.1
1812,12,89,99,0.1
1813,14,69,99,0.1
1814,15,28,99,0.1
1815,16,36,99,0.1
1816,19,33,99,0.1
1817,14,87,99,0.1
1818,12,89,99,0.1
1819,12,89,99,0.1
1820,12,89,99,0.1
1821,14,-11,99,0.1
1822,16,83,99,0.1
1823,15,77,99,0.1
1824,12,89,99,0.1
1825,15,86,99,0.1
1826,12,89,99,0.1
1827,12,89,99,0.1
1828,16,36,99,0.1
1829,14,-11,99,0.1
1830,12,89,99,0.1
1831,15,84,99,0.1
1832,14,-11,99,0.1
1833,12,89,99,0.1
1834,12,89,99,0.1
1835,12,89,99,0.1
1836,16,83,99,0.1
1837,14,38,99,0.1
1838,16,-13,99,0.1
1839,12,89,99,0.1
1840,15,86,99,0.1
1841,17,84,99,0.1
1842,13,88,99,0.1
1843,12,89,99,0.1
1844,12,89,99,0.1
1845,13,86,99,0.1
1846,12,89,99,0.1
1847,13,39,99,0.1
1848,15,37,99,0.1
1849,13,39,99,0.1
1850,15,37,99,0.1
1851,12,87,99,0.1
1852,13,37,99,0.1
1853,16,85,99,0.1
1854,14,87,99,0.1
1855,14,87,99,0.1
1856,14,87,99,0.1
1857,14,29,99,0.1
1858,12,89,99,0.1
1859,12,89,99,0.1
1860,13,88,99,0.1
1861,12,89,99,0.1
1862,12,89,99,0.1
1863,17,84,99,0.1
1864,15,37,99,0.1
1865,14,-11,99,0.1
1866,12,89,99,0.1
1867,14,87,99,0.1
1868,12,89,99,0.1
1869,12,89,99,0.1
1870,14,87,99,0.1
1871,16,85,99,0.1
1872,15,37,99,0.1
1873,14,87,99,0.1
1874,16,85,99,0.1
1875,14,87,99,0.1
1876,14,78,99,0.1
1877,15,37,99,0.1
1878,14,87,99,0.1
1879,12,89,99,0.1
1880,12,89,99,0.1
1881,15,37,99,0.1
1882,13,79,99,0.1
1883,14,87,99,0.1
1884,13,39,99,0.1
1885,14,85,99,0.1
1886,14,38,99,0.1
1887,15,37,99,0.1
1888,12,89,99,0.1
1889,15,86,99,0.1
1890,15,37,99,0.1
1891,15,86,99,0.1
1892,13,39,99,0.1
1893,14,87,99,0.1
1894,12,89,99,0.1
1895,12,89,99,0.1
1896,12,89,99,0.1
1897,14,29,99,0.1
1898,12,89,99,0.1
1899,17,35,99,0.1
1900,12,89,99,0.1
1901,18,-15,99,0.1
1902,12,89,99,0.1
1903,12,89,99,0.1
1904,16,-13,99,0.1
1905,14,87,99,0.1
1906,13,39,99,0.1
1907,13,39,99,0.1
1908,14,29,99,0.1
1909,12,89,99,0.1
1910,19,78,99,0.1
1911,12,89,99,0.1
1912,17,35,99,0.1
1913,15,37,99,0.1
1914,13,39,99,0.1
1915,14,38,99,0.1
1916,14,87,99,0.1
1917,13,88,99,0.1
1918,19,24,99,0.1
1919,12,89,99,0.1
1920,12,89,99,0.1
1921,15,37,99,0.1
1922,15,37,99,0.1
1923,13,88,99,0.1
1924,12,89,99,0.1
1925,15,-61,99,0.1
1926,12,89,99,0.1
1927,12,89,99,0.1
1928,15,37,99,0.1
1929,13,39,99,0.1
1930,15,77,99,0.1
1931,12,89,99,0.1
1932,13,39,99,0.1
1933,12,89,99,0.1
1934,14,87,99,0.1
1935,17,75,99,0.1
1936,12,89,99,0.1
1937,13,88,99,0.1
1938,12,89,99,0.1
1939,13,39,99,0.1
1940,13,39,99,0.1
1941,12,89,99,0.1
1942,12,89,99,0.1
1943,12,89,99,0.1
1944,15,-12,99,0.1
1945,14,87,99,0.1
1946,12,89,99,0.1
1947,12,89,99,0.1
1948,15,86,99,0.1
1949,12,89,99,0.1
1950,16,67,99,0.1
1951,12,89,99,0.1
1952,15,86,99,0.1
1953,15,86,99,0.1
1954,14,87,99,0.1
1955,15,37,99,0.1
1956,15,37,99,0.1
1957,12,89,99,0.1
1958,12,89,99,0.1
1959,12,89,99,0.1
1960,12,89,99,0.1
1961,12,89,99,0.1
1962,12,89,99,0.1
1963,12,89,99,0.1
1964,12,89,99,0.1
1965,13,39,99,0.1
1966,12,89,99,0.1
1967,12,89,99,0.1
1968,14,85,99,0.1
1969,14,87,99,0.1
1970,12,89,99,0.1
1971,17,73,99,0.1
1972,12,87,99,0.1
1973,15,86,99,0.1
1974,13,39,99,0.1
1975,12,89,99,0.1
1976,15,77,99,0.1
1977,12,89,99,0.1
1978,12,89,99,0.1
1979,13,39,99,0.1
1980,12,89,99,0.1
1981,14,38,99,0.1
1982,12,89,99,0.1
1983,13,39,99,0.1
1984,15,77,99,0.1
1985,15,77,99,0.1
1986,18,-15,99,0.1
1987,13,88,99,0.1
1988,17,17,99,0.1
1989,12,89,99,0.1
1990,14,-11,99,0.1
1991,15,77,99,0.1
1992,15,77,99,0.1
1993,14,-11,99,0.1
1994,13,39,99,0.1
1995,14,87,99,0.1
1996,14,85,99,0.1
1997,12,89,99,0.1
1998,12,89,99,0.1
1999,13,79,99,0.1
