Episode,Steps,TotalReward,FinalState,Epsilon
215,19,-25,99,0.304809
216,42,-206,99,0.303285
217,41,-9,99,0.301769
218,24,-70,99,0.30026
219,125,-559,99,0.298759
220,24,-21,99,0.297265
221,145,-339,99,0.295779
222,154,-662,99,0.2943
223,200,-1073,94,0.292828
224,82,-346,99,0.291364
225,31,59,99,0.289907
226,21,20,99,0.288458
227,40,-95,99,0.287015
228,79,-91,99,0.28558
229,32,18,99,0.284153
230,46,-163,99,0.282732
231,183,-584,99,0.281318
232,99,-283,99,0.279912
233,128,-929,99,0.278512
234,117,-348,99,0.277119
235,74,-235,99,0.275734
236,105,-525,99,0.274355
237,50,-263,99,0.272983
238,150,-516,99,0.271618
239,200,-558,93,0.27026
240,200,-610,94,0.268909
241,200,-877,82,0.267565
242,200,-800,62,0.266227
243,200,-517,92,0.264896
244,147,-552,99,0.263571
245,59,-20,99,0.262253
246,169,-380,99,0.260942
247,23,-24,99,0.259637
248,85,-336,99,0.258339
249,68,-216,99,0.257047
250,200,-629,51,0.255762
251,200,-552,94,0.254483
252,70,-165,99,0.253211
253,200,-870,84,0.251945
254,189,-760,99,0.250685
255,200,-857,74,0.249432
256,200,-575,90,0.248185
257,194,-701,99,0.246944
258,151,-644,99,0.245709
259,200,-819,93,0.24448
260,25,-71,99,0.243258
261,33,-137,99,0.242042
262,91,-248,99,0.240832
263,62,-168,99,0.239627
264,91,-194,99,0.238429
265,200,-816,5,0.237237
266,159,-548,99,0.236051
267,80,-193,99,0.234871
268,70,-129,99,0.233696
269,200,-761,94,0.232528
270,51,-61,99,0.231365
271,82,-257,99,0.230208
272,146,-353,99,0.229057
273,154,-661,99,0.227912
274,55,-355,99,0.226772
275,87,-166,99,0.225639
276,23,-29,99,0.22451
277,77,-94,99,0.223388
278,49,-26,99,0.222271
279,44,55,99,0.22116
280,37,-5,99,0.220054
281,129,-134,99,0.218954
282,120,-80,99,0.217859
283,122,-166,99,0.216769
284,60,-209,99,0.215686
285,39,35,99,0.214607
286,89,-147,99,0.213534
287,34,-107,99,0.212466
288,93,-232,99,0.211404
289,200,-516,83,0.210347
290,26,75,99,0.209295
291,108,-370,99,0.208249
292,180,-568,99,0.207208
293,160,-342,99,0.206172
294,87,-131,99,0.205141
295,104,-216,99,0.204115
296,120,-375,99,0.203094
297,37,53,99,0.202079
298,22,21,99,0.201069
299,200,-523,82,0.200063
300,89,-61,99,0.199063
301,31,-28,99,0.198068
302,125,-117,99,0.197077
303,200,-412,93,0.196092
304,18,72,99,0.195111
305,80,-141,99,0.194136
306,22,12,99,0.193165
307,40,3,99,0.192199
308,102,-310,99,0.191238
309,200,-522,93,0.190282
310,70,-118,99,0.189331
311,62,28,99,0.188384
312,59,-167,99,0.187442
313,155,-457,99,0.186505
314,58,-206,99,0.185573
315,19,-18,99,0.184645
316,18,74,99,0.183721
317,27,-24,99,0.182803
318,16,36,99,0.181889
319,200,-830,34,0.180979
320,200,-560,45,0.180074
321,33,68,99,0.179174
322,200,-518,48,0.178278
323,200,-457,47,0.177387
324,200,-506,46,0.1765
325,200,-255,38,0.175617
326,200,-451,36,0.174739
327,200,-666,27,0.173866
328,200,-623,18,0.172996
329,200,-498,36,0.172131
330,69,-128,99,0.171271
331,200,-216,53,0.170414
332,42,57,99,0.169562
333,200,-411,54,0.168714
334,98,-112,99,0.167871
335,165,-221,99,0.167032
336,46,-5,99,0.166196
337,50,-4,99,0.165365
338,200,-693,45,0.164539
339,33,66,99,0.163716
340,19,20,99,0.162897
341,200,-420,65,0.162083
342,192,-264,99,0.161272
343,148,-283,99,0.160466
344,200,-573,37,0.159664
345,90,-180,99,0.158865
346,200,-560,19,0.158071
347,69,-51,99,0.157281
348,66,5,99,0.156494
349,17,-14,99,0.155712
350,200,-467,46,0.154933
351,200,-509,19,0.154159
352,159,-367,99,0.153388
353,37,58,99,0.152621
354,200,-273,65,0.151858
355,200,-674,96,0.151098
356,20,81,99,0.150343
357,40,45,99,0.149591
358,29,21,99,0.148843
359,33,10,99,0.148099
360,19,31,99,0.147359
361,19,82,99,0.146622
362,19,33,99,0.145889
363,20,32,99,0.145159
364,18,83,99,0.144433
365,16,85,99,0.143711
366,18,83,99,0.142993
367,18,-15,99,0.142278
368,16,85,99,0.141566
369,17,35,99,0.140859
370,16,85,99,0.140154
371,39,49,99,0.139454
372,23,69,99,0.138756
373,20,32,99,0.138062
374,17,73,99,0.137372
375,19,24,99,0.136685
376,112,-207,99,0.136002
377,200,-443,19,0.135322
378,82,17,99,0.134645
379,200,-708,9,0.133972
380,200,-847,67,0.133302
381,82,-128,99,0.132636
382,62,-61,99,0.131973
383,25,-24,99,0.131313
384,200,-340,19,0.130656
385,23,29,99,0.130003
386,144,-87,99,0.129353
387,39,-36,99,0.128706
388,18,23,99,0.128062
389,16,83,99,0.127422
390,38,12,99,0.126785
391,114,-271,99,0.126151
392,200,-590,23,0.12552
393,66,-223,99,0.124893
394,200,-551,23,0.124268
395,96,-293,99,0.123647
396,140,-239,99,0.123029
397,200,-626,15,0.122414
398,200,-500,57,0.121802
399,200,-486,38,0.121193
400,21,29,99,0.120587
401,18,32,99,0.119984
402,15,84,99,0.119384
403,17,-16,99,0.118787
404,21,20,99,0.118193
405,15,84,99,0.117602
406,15,84,99,0.117014
407,17,33,99,0.116429
408,104,-254,99,0.115847
409,15,84,99,0.115267
410,47,-48,99,0.114691
411,15,35,99,0.114118
412,56,-62,99,0.113547
413,94,-95,99,0.112979
414,200,-402,29,0.112414
415,38,43,99,0.111852
416,200,-449,42,0.111293
417,104,-107,99,0.110737
418,50,-49,99,0.110183
419,81,-89,99,0.109632
420,160,-306,99,0.109084
421,200,-389,43,0.108538
422,200,-558,47,0.107996
423,99,-163,99,0.107456
424,200,-266,29,0.106918
425,69,-44,99,0.106384
426,42,-15,99,0.105852
427,200,-246,38,0.105323
428,200,-691,25,0.104796
429,200,-701,15,0.104272
430,200,-330,29,0.103751
431,200,-359,53,0.103232
432,101,-151,99,0.102716
433,200,-257,52,0.102202
434,111,-112,99,0.101691
435,200,-348,99,0.101183
436,173,-145,99,0.100677
437,200,-447,21,0.100174
438,200,-300,38,0.1
439,40,57,99,0.1
440,200,-282,38,0.1
441,200,-409,39,0.1
442,49,48,99,0.1
443,200,-656,5,0.1
444,137,-285,99,0.1
445,200,-500,32,0.1
446,144,-214,99,0.1
447,88,13,99,0.1
448,141,-102,99,0.1
449,200,-454,38,0.1
450,52,-11,99,0.1
451,200,-313,16,0.1
452,200,-349,6,0.1
453,200,-401,5,0.1
454,56,39,99,0.1
455,39,62,99,0.1
456,200,-538,59,0.1
457,200,-408,6,0.1
458,200,-394,6,0.1
459,41,9,99,0.1
460,200,-449,5,0.1
461,24,26,99,0.1
462,129,-324,99,0.1
463,42,8,99,0.1
464,42,8,99,0.1
465,32,60,99,0.1
466,21,71,99,0.1
467,60,-30,99,0.1
468,195,-417,99,0.1
469,17,84,99,0.1
470,16,36,99,0.1
471,16,85,99,0.1
472,16,85,99,0.1
473,71,-148,99,0.1
474,101,-45,99,0.1
475,200,-401,5,0.1
476,41,9,99,0.1
477,200,-659,69,0.1
478,200,-445,13,0.1
479,47,5,99,0.1
480,79,-76,99,0.1
481,129,-324,99,0.1
482,157,-390,99,0.1
483,17,75,99,0.1
484,15,86,99,0.1
485,15,37,99,0.1
486,186,-325,99,0.1
487,200,-371,34,0.1
488,89,-184,99,0.1
489,36,14,99,0.1
490,189,-355,99,0.1
491,191,-228,99,0.1
492,200,-553,20,0.1
493,200,-578,20,0.1
494,200,-589,20,0.1
495,16,85,99,0.1
496,14,87,99,0.1
497,22,66,99,0.1
498,102,-152,99,0.1
499,78,-84,99,0.1
500,115,-261,99,0.1
501,16,85,99,0.1
502,74,-120,99,0.1
503,161,-207,99,0.1
504,18,74,99,0.1
505,16,85,99,0.1
506,12,89,99,0.1
507,12,89,99,0.1
508,12,89,99,0.1
509,14,87,99,0.1
510,16,-13,99,0.1
511,15,86,99,0.1
512,12,89,99,0.1
513,15,35,99,0.1
514,12,89,99,0.1
515,64,-30,99,0.1
516,16,34,99,0.1
517,15,-14,99,0.1
518,12,89,99,0.1
519,12,89,99,0.1
520,12,89,99,0.1
521,12,89,99,0.1
522,12,89,99,0.1
523,16,67,99,0.1
524,12,89,99,0.1
525,15,86,99,0.1
526,14,87,99,0.1
527,12,89,99,0.1
528,12,89,99,0.1
529,15,84,99,0.1
530,14,36,99,0.1
531,13,86,99,0.1
532,15,77,99,0.1
533,15,84,99,0.1
534,17,82,99,0.1
535,15,84,99,0.1
536,17,33,99,0.1
537,17,80,99,0.1
538,16,34,99,0.1
539,19,78,99,0.1
540,15,84,99,0.1
541,16,32,99,0.1
542,16,34,99,0.1
543,20,28,99,0.1
544,14,87,99,0.1
545,14,87,99,0.1
546,15,77,99,0.1
547,14,87,99,0.1
548,17,24,99,0.1
549,20,32,99,0.1
550,15,84,99,0.1
551,14,87,99,0.1
552,15,77,99,0.1
553,200,-530,97,0.1
554,67,-33,99,0.1
555,73,-125,99,0.1
556,32,18,99,0.1
557,17,82,99,0.1
558,17,35,99,0.1
559,47,-55,99,0.1
560,19,80,99,0.1
561,44,0,99,0.1
562,127,-255,99,0.1
563,41,44,99,0.1
564,178,-420,99,0.1
565,60,35,99,0.1
566,56,27,99,0.1
567,40,53,99,0.1
568,66,-32,99,0.1
569,90,-51,99,0.1
570,22,28,99,0.1
571,152,-55,99,0.1
572,90,-44,99,0.1
573,111,-29,99,0.1
574,157,-275,99,0.1
575,130,-131,99,0.1
576,185,-137,99,0.1
577,14,87,99,0.1
578,12,89,99,0.1
579,12,89,99,0.1
580,16,81,99,0.1
581,13,39,99,0.1
582,13,88,99,0.1
583,14,87,99,0.1
584,13,88,99,0.1
585,15,75,99,0.1
586,15,84,99,0.1
587,12,89,99,0.1
588,52,49,99,0.1
589,15,37,99,0.1
590,14,29,99,0.1
591,12,89,99,0.1
592,14,29,99,0.1
593,14,87,99,0.1
594,14,87,99,0.1
595,57,-62,99,0.1
596,109,-117,99,0.1
597,151,-148,99,0.1
598,13,79,99,0.1
599,12,89,99,0.1
600,12,89,99,0.1
601,18,77,99,0.1
602,18,77,99,0.1
603,14,87,99,0.1
604,78,-13,99,0.1
605,49,43,99,0.1
606,15,37,99,0.1
607,13,88,99,0.1
608,13,79,99,0.1
609,12,89,99,0.1
610,14,87,99,0.1
611,12,89,99,0.1
612,22,79,99,0.1
613,14,87,99,0.1
614,14,87,99,0.1
615,12,89,99,0.1
616,13,88,99,0.1
617,14,87,99,0.1
618,15,86,99,0.1
619,15,84,99,0.1
620,13,39,99,0.1
621,14,87,99,0.1
622,15,37,99,0.1
623,15,37,99,0.1
624,13,39,99,0.1
625,15,37,99,0.1
626,21,31,99,0.1
627,17,75,99,0.1
628,19,-65,99,0.1
629,15,37,99,0.1
630,19,24,99,0.1
631,15,37,99,0.1
632,14,87,99,0.1
633,14,87,99,0.1
634,17,-63,99,0.1
635,16,67,99,0.1
636,16,-13,99,0.1
637,14,87,99,0.1
638,19,24,99,0.1
639,14,87,99,0.1
640,15,86,99,0.1
641,17,35,99,0.1
642,14,87,99,0.1
643,14,87,99,0.1
644,15,37,99,0.1
645,16,83,99,0.1
646,15,77,99,0.1
647,19,73,99,0.1
648,14,87,99,0.1
649,17,35,99,0.1
650,14,87,99,0.1
651,14,87,99,0.1
652,20,81,99,0.1
653,15,77,99,0.1
654,15,77,99,0.1
655,15,37,99,0.1
656,14,87,99,0.1
657,15,86,99,0.1
658,15,86,99,0.1
659,15,37,99,0.1
660,15,77,99,0.1
661,15,37,99,0.1
662,14,87,99,0.1
663,19,82,99,0.1
664,14,87,99,0.1
665,14,87,99,0.1
666,14,87,99,0.1
667,21,80,99,0.1
668,14,87,99,0.1
669,15,86,99,0.1
670,14,87,99,0.1
671,14,87,99,0.1
672,15,77,99,0.1
673,14,87,99,0.1
674,14,87,99,0.1
675,20,14,99,0.1
676,16,36,99,0.1
677,15,77,99,0.1
678,16,81,99,0.1
679,15,37,99,0.1
680,30,65,99,0.1
681,17,35,99,0.1
682,17,33,99,0.1
683,16,36,99,0.1
684,18,23,99,0.1
685,16,85,99,0.1
686,18,81,99,0.1
687,18,23,99,0.1
688,14,87,99,0.1
689,15,77,99,0.1
690,16,-13,99,0.1
691,14,87,99,0.1
692,16,27,99,0.1
693,15,84,99,0.1
694,16,36,99,0.1
695,13,37,99,0.1
696,14,87,99,0.1
697,18,83,99,0.1
698,14,87,99,0.1
699,16,85,99,0.1
700,14,87,99,0.1
701,17,17,99,0.1
702,16,36,99,0.1
703,14,87,99,0.1
704,22,64,99,0.1
705,12,89,99,0.1
706,15,77,99,0.1
707,16,85,99,0.1
708,16,85,99,0.1
709,13,39,99,0.1
710,15,86,99,0.1
711,12,89,99,0.1
712,15,37,99,0.1
713,12,89,99,0.1
714,12,89,99,0.1
715,12,89,99,0.1
716,15,77,99,0.1
717,12,89,99,0.1
718,16,85,99,0.1
719,15,37,99,0.1
720,14,87,99,0.1
721,12,87,99,0.1
722,12,89,99,0.1
723,12,89,99,0.1
724,12,89,99,0.1
725,12,89,99,0.1
726,15,86,99,0.1
727,40,-92,99,0.1
728,13,39,99,0.1
729,18,34,99,0.1
730,12,89,99,0.1
731,12,89,99,0.1
732,16,85,99,0.1
733,13,39,99,0.1
734,12,89,99,0.1
735,13,79,99,0.1
736,13,39,99,0.1
737,13,88,99,0.1
738,12,89,99,0.1
739,14,87,99,0.1
740,14,87,99,0.1
741,13,88,99,0.1
742,17,35,99,0.1
743,16,85,99,0.1
744,15,37,99,0.1
745,14,38,99,0.1
746,14,85,99,0.1
747,14,87,99,0.1
748,14,87,99,0.1
749,14,38,99,0.1
750,12,89,99,0.1
751,12,89,99,0.1
752,12,89,99,0.1
753,13,79,99,0.1
754,12,89,99,0.1
755,14,87,99,0.1
756,12,89,99,0.1
757,14,87,99,0.1
758,17,35,99,0.1
759,12,89,99,0.1
760,14,85,99,0.1
761,13,79,99,0.1
762,13,88,99,0.1
763,13,39,99,0.1
764,12,89,99,0.1
765,15,77,99,0.1
766,12,87,99,0.1
767,14,87,99,0.1
768,12,89,99,0.1
769,13,39,99,0.1
770,14,38,99,0.1
771,14,87,99,0.1
772,13,79,99,0.1
773,12,89,99,0.1
774,12,89,99,0.1
775,12,89,99,0.1
776,13,39,99,0.1
777,14,87,99,0.1
778,12,89,99,0.1
779,15,37,99,0.1
780,12,89,99,0.1
781,15,86,99,0.1
782,12,89,99,0.1
783,13,88,99,0.1
784,12,89,99,0.1
785,13,88,99,0.1
786,14,29,99,0.1
787,17,35,99,0.1
788,14,78,99,0.1
789,14,29,99,0.1
790,13,79,99,0.1
791,14,87,99,0.1
792,12,89,99,0.1
793,12,89,99,0.1
794,16,85,99,0.1
795,12,89,99,0.1
796,12,89,99,0.1
797,12,87,99,0.1
798,19,-16,99,0.1
799,12,89,99,0.1
800,12,89,99,0.1
801,13,79,99,0.1
802,14,87,99,0.1
803,17,75,99,0.1
804,13,39,99,0.1
805,16,83,99,0.1
806,14,87,99,0.1
807,12,89,99,0.1
808,12,89,99,0.1
809,13,39,99,0.1
810,15,-21,99,0.1
811,12,89,99,0.1
812,12,89,99,0.1
813,12,89,99,0.1
814,14,87,99,0.1
815,14,69,99,0.1
816,14,87,99,0.1
817,14,87,99,0.1
818,13,39,99,0.1
819,14,69,99,0.1
820,12,89,99,0.1
821,14,29,99,0.1
822,12,87,99,0.1
823,14,-11,99,0.1
824,13,39,99,0.1
825,15,35,99,0.1
826,13,39,99,0.1
827,12,89,99,0.1
828,15,37,99,0.1
829,14,87,99,0.1
830,14,87,99,0.1
831,13,39,99,0.1
832,12,89,99,0.1
833,14,85,99,0.1
834,14,87,99,0.1
835,13,39,99,0.1
836,15,35,99,0.1
837,14,87,99,0.1
838,12,89,99,0.1
839,12,89,99,0.1
840,13,88,99,0.1
841,12,89,99,0.1
842,13,86,99,0.1
843,14,87,99,0.1
844,19,78,99,0.1
845,16,85,99,0.1
846,12,89,99,0.1
847,14,69,99,0.1
848,15,37,99,0.1
849,16,81,99,0.1
850,12,89,99,0.1
851,14,29,99,0.1
852,16,85,99,0.1
853,13,39,99,0.1
854,12,89,99,0.1
855,12,89,99,0.1
856,14,87,99,0.1
857,12,89,99,0.1
858,17,35,99,0.1
859,13,39,99,0.1
860,16,85,99,0.1
861,15,86,99,0.1
862,12,89,99,0.1
863,12,89,99,0.1
864,13,79,99,0.1
865,13,88,99,0.1
866,12,89,99,0.1
867,12,89,99,0.1
868,12,89,99,0.1
869,19,-25,99,0.1
870,21,31,99,0.1
871,12,89,99,0.1
872,15,37,99,0.1
873,14,78,99,0.1
874,12,89,99,0.1
875,12,89,99,0.1
876,14,85,99,0.1
877,12,89,99,0.1
878,13,88,99,0.1
879,13,79,99,0.1
880,12,89,99,0.1
881,13,88,99,0.1
882,14,87,99,0.1
883,15,77,99,0.1
884,12,89,99,0.1
885,13,39,99,0.1
886,12,89,99,0.1
887,14,87,99,0.1
888,12,89,99,0.1
889,12,89,99,0.1
890,12,89,99,0.1
891,13,88,99,0.1
892,16,85,99,0.1
893,14,87,99,0.1
894,12,89,99,0.1
895,16,85,99,0.1
896,12,89,99,0.1
897,13,39,99,0.1
898,14,83,99,0.1
899,12,89,99,0.1
900,15,86,99,0.1
901,13,88,99,0.1
902,15,37,99,0.1
903,12,89,99,0.1
904,12,89,99,0.1
905,12,89,99,0.1
906,14,87,99,0.1
907,12,89,99,0.1
908,12,89,99,0.1
909,15,86,99,0.1
910,18,-15,99,0.1
911,13,88,99,0.1
912,15,37,99,0.1
913,14,-11,99,0.1
914,14,87,99,0.1
915,12,89,99,0.1
916,13,88,99,0.1
917,15,86,99,0.1
918,12,89,99,0.1
919,12,89,99,0.1
920,13,88,99,0.1
921,15,37,99,0.1
922,15,37,99,0.1
923,12,89,99,0.1
924,14,-11,99,0.1
925,16,85,99,0.1
926,12,89,99,0.1
927,15,77,99,0.1
928,12,89,99,0.1
929,14,85,99,0.1
930,14,87,99,0.1
931,13,88,99,0.1
932,12,89,99,0.1
933,14,87,99,0.1
934,14,87,99,0.1
935,13,88,99,0.1
936,14,-11,99,0.1
937,14,-11,99,0.1
938,15,37,99,0.1
939,12,89,99,0.1
940,12,89,99,0.1
941,12,89,99,0.1
942,12,89,99,0.1
943,13,39,99,0.1
944,12,89,99,0.1
945,12,89,99,0.1
946,14,29,99,0.1
947,13,39,99,0.1
948,16,76,99,0.1
949,12,89,99,0.1
950,14,38,99,0.1
951,13,86,99,0.1
952,18,72,99,0.1
953,13,39,99,0.1
954,15,37,99,0.1
955,15,-61,99,0.1
956,14,38,99,0.1
957,17,-63,99,0.1
958,13,79,99,0.1
959,12,89,99,0.1
960,14,87,99,0.1
961,15,86,99,0.1
962,13,88,99,0.1
963,13,79,99,0.1
964,14,87,99,0.1
965,13,88,99,0.1
966,12,89,99,0.1
967,12,89,99,0.1
968,12,89,99,0.1
969,14,87,99,0.1
970,13,39,99,0.1
971,13,88,99,0.1
972,12,89,99,0.1
973,12,89,99,0.1
974,12,89,99,0.1
975,13,79,99,0.1
976,14,87,99,0.1
977,12,89,99,0.1
978,19,24,99,0.1
979,14,69,99,0.1
980,15,86,99,0.1
981,15,37,99,0.1
982,12,89,99,0.1
983,15,86,99,0.1
984,14,87,99,0.1
985,16,34,99,0.1
986,13,39,99,0.1
987,12,89,99,0.1
988,13,39,99,0.1
989,12,89,99,0.1
990,12,89,99,0.1
991,13,88,99,0.1
992,12,89,99,0.1
993,14,87,99,0.1
994,12,89,99,0.1
995,12,89,99,0.1
996,12,89,99,0.1
997,13,39,99,0.1
998,14,87,99,0.1
999,12,89,99,0.1
1000,13,86,99,0.1
1001,13,88,99,0.1
1002,13,39,99,0.1
1003,12,89,99,0.1
1004,12,89,99,0.1
1005,12,87,99,0.1
1006,13,79,99,0.1
1007,14,87,99,0.1
1008,14,38,99,0.1
1009,13,39,99,0.1
1010,12,89,99,0.1
1011,19,31,99,0.1
1012,16,85,99,0.1
1013,12,89,99,0.1
1014,12,89,99,0.1
1015,13,88,99,0.1
1016,12,89,99,0.1
1017,14,87,99,0.1
1018,12,89,99,0.1
1019,13,39,99,0.1
1020,12,89,99,0.1
1021,15,37,99,0.1
1022,12,89,99,0.1
1023,17,75,99,0.1
1024,12,89,99,0.1
1025,12,89,99,0.1
1026,16,76,99,0.1
1027,12,89,99,0.1
1028,12,89,99,0.1
1029,16,-15,99,0.1
1030,12,89,99,0.1
1031,16,76,99,0.1
1032,12,89,99,0.1
1033,13,39,99,0.1
1034,12,89,99,0.1
1035,12,89,99,0.1
1036,13,39,99,0.1
1037,17,75,99,0.1
1038,12,89,99,0.1
1039,16,67,99,0.1
1040,13,39,99,0.1
1041,16,25,99,0.1
1042,14,87,99,0.1
1043,12,87,99,0.1
1044,15,84,99,0.1
1045,12,89,99,0.1
1046,13,88,99,0.1
1047,13,39,99,0.1
1048,18,83,99,0.1
1049,12,89,99,0.1
1050,13,79,99,0.1
1051,13,88,99,0.1
1052,14,-11,99,0.1
1053,12,89,99,0.1
1054,16,36,99,0.1
1055,12,89,99,0.1
1056,15,37,99,0.1
1057,14,29,99,0.1
1058,13,39,99,0.1
1059,14,38,99,0.1
1060,12,89,99,0.1
1061,16,85,99,0.1
1062,16,27,99,0.1
1063,18,34,99,0.1
1064,12,89,99,0.1
1065,12,89,99,0.1
1066,15,37,99,0.1
1067,14,87,99,0.1
